PERMNO,DelistingDt,DelDtPrc,DelDtPrcFlg,DelActionType,DelStatusType,DelReasonType,DelPaymentType,DelPERMNO,DelPERMCO,DelRet,DelRetMissType,DelNextDt,DelNextPrc,DelNextPrcFlg,DelAmtDt,DelDivAmt,DelDisType,DelDlyDt,PrimaryExch,SICCD,NASDIssuno
20234,2022-07-11,24.255000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000153,NA,,,DA,2022-07-12,24.258700,D1,2022-07-12,B,6726,0
20235,2022-07-11,25.745000,TR,GLI,FPAY,UNAV,UNAV,0,0,-0.000136,NA,,,DA,2022-07-12,25.741500,D1,2022-07-12,B,6726,0
20236,2022-11-18,22.412100,TR,GLI,FPAY,UNAV,UNAV,0,0,-0.009580,NA,,,DA,2022-11-21,22.197400,D1,2022-11-21,R,6726,0
20246,2022-12-27,26.000000,TR,MER,FPAY,UNAV,CASH,0,0,0.000000,NA,,,DA,2022-12-28,26.000000,D1,2022-12-28,N,4924,0
20249,2022-06-24,3.647600,TR,GLI,FPAY,UNAV,UNAV,0,0,-0.005321,NA,,,DA,2022-06-27,3.628190,D1,2022-06-27,R,6726,0
20250,2022-06-24,5.334800,TR,GLI,FPAY,UNAV,UNAV,0,0,-0.000990,NA,,,DA,2022-06-27,5.329520,D1,2022-06-27,R,6726,0
20251,2023-04-28,4.480000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.002335,NA,,,DA,2023-05-01,4.490460,D1,2023-05-01,R,6726,0
20268,2021-08-24,8.420000,TR,MER,FPAY,UNAV,STK,21794,58623,0.042755,NA,,,DA,2021-08-25,8.780000,D1,2021-08-25,N,6799,0
20270,2023-10-30,10.030000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.001246,NA,,,DA,2023-10-31,10.042500,D1,2023-10-31,N,6799,0
20273,2021-09-30,7.810000,TR,MER,FPAY,UNAV,STK,22132,58797,-0.080666,NA,,,DA,2021-10-01,7.180000,D1,2021-10-01,N,6799,0
20274,2022-10-21,10.040000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000000,NA,,,DA,2022-10-24,10.040000,D1,2022-10-24,N,6799,0
20275,2023-04-25,11.325000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000442,NA,,,DA,2023-04-26,11.330000,D1,2023-04-26,A,6799,0
